"""%1"" coupon code is not valid.","קוד קופון ""%"" לא תקין."
"%1","%1"
"%1 / %1 rate:","%1 / %1 שיעור:"
"%1 for %1","%1 עבור %1"
"%1 order(s) cannot be canceled","לא ניתן לבטל %1 הזמנות"
"%1 order(s) have been canceled."," %1 הזמנות בוטלו"
"%1 order(s) have been put on hold.","%1 הזמנות הועברו למצב המתנה"
"%1 order(s) have been released from holding status."," %1 הזמנות שוחררו ממצב המתנה"
"%1 order(s) were not put on hold."," %1 הזמנות לא הועברו למצב המתנה"
"%1 order(s) were not released from holding status.","לא ניתן לבטל %1 הזמנות"
"* - Enter custom price excluding tax","* - כנס מחיר לא כולל מס"
"* - Enter custom price including tax","* - הכנס מחיר כולל מס"
"-- Please Select --","-- בחר מהרשימה --"
"-- Please Select Billing Agreement--","-- אנא בחר הסכם חיוב--"
"About This Order:","פרטי הזמנה:"
"About This Profile:","אודות פרופיל זה:"
"About Your Invoice","אודות החיוב שלך"
"About Your Order","אודות הזמנתך"
"About Your Refund","אודות ההחזר שלך"
"About Your Shipment","אודות המשלוח שלך"
"Accept Payment","קבלת תשלום"
"Accept or Deny Payment","קבל או דחה תשלום"
"Account Information","מידע אודות חשבונך"
"Action","פעולה"
"Actions","פעולות"
"Activate","הפעל"
"Active","פעיל"
"Add","הוסף"
"Add New Address","הוסף כתובת חדשה"
"Add Order Comments","הוסף הערות להזמנה"
"Add Products","הוסף מוצרים"
"Add Selected Product(s) to Option","הוסף מוצר(ים) נבחרים לאופציה"
"Add Selected Product(s) to Order","הוסף מוצר(ים) נבחר(ים) להזמנה"
"Add To Order","הוסף להזמנה"
"Add Tracking Number","הוסף מספר מעקב"
"Add comment to order","הזמנה - הוסף הערה"
"Add new comment to shipment","משלוח - הוסף הערה"
"Add new tracking number","הוסף מספר מעקב"
"Add to Cart","הוספה לסל"
"Additional Product Info","פרטי מוצר נוספים"
"Address","כתובת"
"Address model is not defined.","לא הוגדרה כתובת מודל"
"Adjustment Fee","עמלת התאמה"
"Adjustment Refund","החזר התאמה"
"Agreement Information","פרטי הסכם"
"Allow Reorder","אפשר הזמנה מחדש"
"Amount","כמות"
"Amount: %1.","כמות: %1."
"An error occurred while assigning order status. Status has not been assigned.","ארעה שגיאה במהלך ייחוס סטאטוס הזמנה. סטאטוס לא יוחס."
"An error occurred while saving order status. The status has not been added.","ארעה שגיאה במהלך שמירת סטאטוס ההזמנה. הסטטוס לא התווסף."
"An error occurred while unassigning order status.","ארעה שגיאה במהלך ביטול ייחוס סטאטוס הזמנה"
"An error occurred while updating the order address. The address has not been changed.","ארעה שגיאה במהלך עדכון סטאטוס הזמנה. הכתובת לא שונתה. "
"An item option with code %1 already exists.","אפשרות מוצר עם הקוד  %1 קיימת כבר."
"Append Comments","הוסף הערות"
